node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
10,3,0.4827586206896552,0.06684981684981685,0.0,0.690664289525496,-4.357489591710263,6.309128266504079,BA N=15 m=2 (G1)
11,2,0.4117647058823529,0.01098901098901099,0.0,0.5097702528811063,-3.0448966819077845,5.973076429428191,BA N=15 m=2 (G1)
12,2,0.4666666666666667,0.0,1.0,0.3003835672278474,-2.663590789132471,8.86729861328293,BA N=15 m=2 (G1)
13,3,0.4375,0.022893772893772892,0.3333333333333333,0.6808312603346396,-4.322956068449324,6.349526410295145,BA N=15 m=2 (G1)
14,2,0.4117647058823529,0.0,1.0,0.46513382569687867,-2.994838004431144,6.438658809524721,BA N=15 m=2 (G1)
0,5,0.417910447761194,0.11832325522801712,0.0,3.828242467037345,-16.691926725419204,4.36020624846602,ER N=30 p=0.1 (G1)
1,4,0.39436619718309857,0.1647833207357017,0.0,3.261305655115862,-13.864183965234744,4.251114563115735,ER N=30 p=0.1 (G1)
2,3,0.29473684210526313,0.049250440917107584,0.3333333333333333,2.902093176241184,-11.198670070977604,3.8588251275523198,ER N=30 p=0.1 (G1)
3,2,0.3181818181818182,0.018937389770723106,0.0,1.7137080809963363,-7.150579717834181,4.17257746352978,ER N=30 p=0.1 (G1)
4,6,0.39436619718309857,0.16829176114890398,0.0,4.729097685678823,-19.909486442716794,4.209996867480429,ER N=30 p=0.1 (G1)
5,4,0.4117647058823529,0.0791761148904006,0.0,3.0440379996017235,-13.538758332061171,4.447631183918387,ER N=30 p=0.1 (G1)
6,3,0.2978723404255319,0.04398463088939279,0.3333333333333333,2.785483198687327,-11.039043094097012,3.9630621715109307,ER N=30 p=0.1 (G1)
7,4,0.3888888888888889,0.09909926933736458,0.16666666666666666,3.040720025106417,-13.390454830481408,4.403711857691594,ER N=30 p=0.1 (G1)
8,3,0.3181818181818182,0.0988095238095238,0.0,2.9920733689508516,-11.254411813105662,3.761409038258958,ER N=30 p=0.1 (G1)
9,4,0.3373493975903614,0.017293398841017885,0.3333333333333333,3.003875510215309,-13.458729683500358,4.480455211186723,ER N=30 p=0.1 (G1)
10,5,0.4,0.10804988662131518,0.0,3.7440539065290928,-16.635253753290186,4.443112777911849,ER N=30 p=0.1 (G1)
11,2,0.3218390804597701,0.0,1.0,1.553821819648598,-6.919706739595847,4.453346356766159,ER N=30 p=0.1 (G1)
12,5,0.4,0.14036596119929456,0.0,3.956778912334183,-16.85781730158695,4.2604900791998475,ER N=30 p=0.1 (G1)
13,3,0.358974358974359,0.070376669186193,0.0,2.5149820510020717,-10.61610883463446,4.221146958247503,ER N=30 p=0.1 (G1)
14,3,0.32558139534883723,0.07331821617535902,0.3333333333333333,2.7282225083618865,-10.97213208638324,4.021714523926886,ER N=30 p=0.1 (G1)
15,2,0.32941176470588235,0.027116402116402115,0.0,1.7733272233031503,-7.259146906664068,4.093517998975148,ER N=30 p=0.1 (G1)
16,2,0.3333333333333333,0.00500755857898715,0.0,1.5779137637237701,-6.950670568901836,4.404974928730403,ER N=30 p=0.1 (G1)
17,3,0.32941176470588235,0.061507936507936505,0.0,2.809846312086961,-10.946468612354222,3.8957535026974255,ER N=30 p=0.1 (G1)
18,3,0.358974358974359,0.022864701436130005,0.0,2.3014552360492093,-10.244445385425244,4.451290307523583,ER N=30 p=0.1 (G1)
19,3,0.345679012345679,0.10586419753086419,0.0,2.804413267625483,-11.03155906946735,3.933642447358642,ER N=30 p=0.1 (G1)
20,6,0.39436619718309857,0.14167611489040058,0.2,4.518619789635444,-19.720673205775654,4.364313468243074,ER N=30 p=0.1 (G1)
21,3,0.32558139534883723,0.10934744268077601,0.0,3.028037157160261,-11.115456825176771,3.6708455835466083,ER N=30 p=0.1 (G1)
22,2,0.32558139534883723,0.03284832451499118,0.0,1.761631481566873,-7.21549192310542,4.0959144966503676,ER N=30 p=0.1 (G1)
23,2,0.2828282828282828,0.037786596119929454,0.0,2.0214078125080173,-7.671842393502557,3.7952966967036144,ER N=30 p=0.1 (G1)
24,3,0.32558139534883723,0.06611237087427563,0.0,2.6413762551465947,-10.733612911958465,4.063644053377302,ER N=30 p=0.1 (G1)
25,1,0.24778761061946902,0.0,0.0,1.0530193815338391,-3.8740191490283618,3.6789628158462047,ER N=30 p=0.1 (G1)
26,3,0.32558139534883723,0.020282186948853614,0.3333333333333333,2.370632507530013,-10.384150530686536,4.380329088419483,ER N=30 p=0.1 (G1)
27,3,0.3835616438356164,0.15152431342907532,0.0,2.56917692238739,-10.621373583118814,4.134154207351736,ER N=30 p=0.1 (G1)
28,4,0.37333333333333335,0.036785084404132015,0.16666666666666666,3.0059322280221608,-13.45945868008074,4.477632115124823,ER N=30 p=0.1 (G1)
0,2,0.4142857142857143,0.029052310579404172,0.0,0.8458465677220008,-4.331479549485158,5.120880919515368,BA N=30 m=2 (G1)
1,11,0.6041666666666666,0.22228477597935725,0.14545454545454545,3.5407122090736856,-20.669602357338153,5.837696242120083,BA N=30 m=2 (G1)
2,14,0.6590909090909091,0.4266361717100633,0.07692307692307693,4.256045222380521,-25.08541971341796,5.894067943993087,BA N=30 m=2 (G1)
