model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
BA,100,2.0,4.357142857142857,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04546,0.0009315942077965062,0.04706,0.0009470518085089116,0.04633164256707335,0.04530613935476676
BA,100,2.0,4.571428571428571,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04838,0.0009595767358580553,0.0477,0.0009531496209934724,0.047302495994470596,0.046276992782163996
BA,100,2.0,4.785714285714286,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04866,0.0009622079234760021,0.04782,0.0009542876673204994,0.04827334942186783,0.04724784620956123
BA,100,2.0,5.0,5.0,0.02,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04958,0.0009707916728114225,0.04868,0.0009623955278366583,0.04924420284926507,0.04821869963695847
BA,100,2.0,3.5,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.02546,0.0007044400386122299,0.01706,0.0005791192692356212,0.011216982452395122,0.0009619503293291781
BA,100,2.0,3.7142857142857144,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.03004,0.0007633819280019669,0.02132,0.0006459946996686583,0.02092551672636749,0.010670484603301542
BA,100,2.0,3.9285714285714284,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.03504,0.0008223405425977732,0.02634,0.0007161871878217313,0.03063405100033985,0.0203790188772739
BA,100,2.0,4.142857142857142,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.04098,0.0008865736246922756,0.03266,0.0007949003006666937,0.040342585274312184,0.030087553151246237
BA,100,2.0,4.357142857142857,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.05026,0.0009770765824642406,0.03892,0.0008649304434461768,0.05005111954828455,0.0397960874252186
BA,100,2.0,4.571428571428571,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.05342,0.001005647091180599,0.04728,0.0009491533237575477,0.05975965382225694,0.04950462169919099
BA,100,2.0,4.785714285714286,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.06132,0.0010729385592847336,0.0535,0.0010063572924165652,0.06946818809622929,0.05921315597316335
BA,100,2.0,5.0,5.0,0.2,dB-Bd,0.04591836734693878,4.492273154782122,4.265925199313146,0.06982,0.0011396944116735853,0.05966,0.0010592514753352954,0.07917672237020165,0.06892169024713571
